Order ID,Order Date,Ship Date,Ship Mode,Customer ID
CA-2018-119004,2018-11-23,2018-11-28,Standard Class,JM-15250
CA-2016-129476,2016-10-15,2016-10-20,Standard Class,PA-19060
CA-2018-146780,2018-12-25,2018-12-30,Standard Class,CV-12805
CA-2017-128867,2017-11-03,2017-11-10,Standard Class,CL-12565
CA-2015-115259,2015-08-25,2015-08-27,Second Class,RC-19960
CA-2016-110457,2016-03-02,2016-03-06,Standard Class,DK-13090
US-2016-136476,2016-04-05,2016-04-10,Standard Class,GG-14650
CA-2017-103730,2017-06-12,2017-06-15,First Class,SC-20725
US-2015-152030,2015-12-26,2015-12-28,Second Class,AD-10180
US-2015-134614,2015-09-20,2015-09-25,Standard Class,PF-19165
US-2018-107272,2018-11-05,2018-11-12,Standard Class,TS-21610
US-2017-125969,2017-11-06,2017-11-10,Second Class,LS-16975
US-2018-164147,2018-02-02,2018-02-05,First Class,DW-13585
CA-2017-145583,2017-10-13,2017-10-19,Standard Class,LC-16885
CA-2017-110366,2017-09-05,2017-09-07,Second Class,JD-15895
CA-2018-106180,2018-09-18,2018-09-23,Standard Class,SH-19975
CA-2018-155376,2018-12-22,2018-12-27,Standard Class,SG-20080
CA-2016-110744,2016-09-07,2016-09-12,Standard Class,HA-14920
CA-2015-110072,2015-10-22,2015-10-28,Standard Class,MG-17680
CA-2017-114489,2017-12-05,2017-12-09,Standard Class,JE-16165
CA-2017-158834,2017-03-13,2017-03-16,First Class,TW-21025
CA-2016-124919,2016-05-31,2016-06-02,First Class,SP-20650
CA-2016-118948,2016-05-28,2016-06-03,Standard Class,NK-18490
CA-2015-104269,2015-03-01,2015-03-06,Second Class,DB-13060
CA-2017-114104,2017-11-20,2017-11-24,Standard Class,NP-18670
CA-2017-162733,2017-05-11,2017-05-12,First Class,TT-21070
CA-2016-119697,2016-12-28,2016-12-31,Second Class,EM-13960
CA-2017-154508,2017-11-16,2017-11-20,Standard Class,RD-19900
CA-2017-113817,2017-11-07,2017-11-11,Standard Class,MJ-17740
CA-2015-139892,2015-09-08,2015-09-12,Standard Class,BM-11140
CA-2015-118962,2015-08-05,2015-08-09,Standard Class,CS-12130
US-2015-100853,2015-09-14,2015-09-19,Standard Class,JB-15400
US-2018-152366,2018-04-21,2018-04-25,Second Class,SJ-20500
US-2016-101511,2016-11-21,2016-11-23,Second Class,JE-15745
CA-2016-137225,2016-12-15,2016-12-19,Standard Class,JK-15640
CA-2015-166191,2015-12-05,2015-12-09,Second Class,DK-13150
CA-2015-158274,2015-11-19,2015-11-24,Second Class,RM-19675
CA-2017-105018,2017-11-28,2017-12-02,Standard Class,SK-19990
CA-2015-123260,2015-08-26,2015-08-30,Standard Class,FM-14290
CA-2017-157000,2017-07-16,2017-07-22,Standard Class,AM-10360
CA-2016-102281,2016-10-12,2016-10-14,First Class,MP-17470
CA-2016-131457,2016-10-31,2016-11-06,Standard Class,MZ-17515
CA-2015-140004,2015-03-21,2015-03-25,Standard Class,CB-12025
CA-2018-107720,2018-11-06,2018-11-13,Standard Class,VM-21685
US-2018-124303,2018-07-06,2018-07-13,Standard Class,FH-14365
CA-2018-105074,2018-06-24,2018-06-29,Standard Class,MB-17305
CA-2015-133690,2015-08-03,2015-08-05,First Class,BS-11755
US-2018-116701,2018-12-17,2018-12-21,Second Class,LC-17140
CA-2018-126382,2018-06-03,2018-06-07,Standard Class,HK-14890
CA-2018-108329,2018-12-09,2018-12-14,Standard Class,LE-16810
CA-2018-135860,2018-12-01,2018-12-07,Standard Class,JH-15985
CA-2016-101007,2016-02-09,2016-02-13,Second Class,MS-17980
CA-2016-146262,2016-01-02,2016-01-09,Standard Class,VW-21775
CA-2017-130162,2017-10-28,2017-11-01,Standard Class,JH-15910
CA-2016-169397,2016-12-24,2016-12-27,First Class,JB-15925
CA-2016-163055,2016-08-09,2016-08-16,Standard Class,DS-13180
US-2016-145436,2016-02-28,2016-03-04,Standard Class,VD-21670
US-2015-156216,2015-09-13,2015-09-17,Standard Class,EA-14035
US-2018-100930,2018-04-07,2018-04-12,Standard Class,CS-12400
CA-2018-160514,2018-11-12,2018-11-16,Standard Class,DB-13120
CA-2017-157749,2017-06-04,2017-06-09,Second Class,KL-16645
CA-2015-131926,2015-06-01,2015-06-06,Second Class,DW-13480
CA-2017-154739,2017-12-10,2017-12-15,Second Class,LH-17155
CA-2017-145625,2017-09-11,2017-09-17,Standard Class,KC-16540
CA-2017-146941,2017-12-10,2017-12-13,First Class,DL-13315
US-2016-159982,2016-11-28,2016-12-04,Standard Class,DR-12880
CA-2018-163139,2018-12-01,2018-12-03,Second Class,CC-12670
US-2018-155299,2018-06-08,2018-06-12,Standard Class,Dl-13600
US-2015-106992,2015-09-19,2015-09-21,Second Class,SB-20290
CA-2017-125318,2017-06-06,2017-06-13,Standard Class,RC-19825
CA-2016-155040,2016-11-10,2016-11-15,Standard Class,AH-10210
CA-2018-136826,2018-06-16,2018-06-20,Standard Class,CB-12535
CA-2017-111010,2017-01-22,2017-01-28,Standard Class,PG-18895
US-2018-145366,2018-12-09,2018-12-13,Standard Class,CA-12310
CA-2018-163979,2018-12-28,2019-01-02,Second Class,KH-16690
CA-2016-155334,2016-07-30,2016-07-31,First Class,HA-14920
CA-2018-118136,2018-09-16,2018-09-17,First Class,BB-10990
CA-2018-132976,2018-10-13,2018-10-17,Standard Class,AG-10495
US-2016-161991,2016-09-26,2016-09-28,Second Class,SC-20725
CA-2016-130890,2016-11-02,2016-11-06,Standard Class,JO-15280
CA-2016-130883,2016-09-26,2016-10-02,Standard Class,TB-21520
CA-2017-112697,2017-12-18,2017-12-20,Second Class,AH-10195
CA-2017-110772,2017-11-20,2017-11-24,Second Class,NZ-18565
CA-2015-111451,2015-12-26,2015-12-28,First Class,KL-16555
CA-2017-142545,2017-10-28,2017-11-03,Standard Class,JD-15895
US-2018-152380,2018-11-19,2018-11-23,Standard Class,JH-15910
CA-2016-144253,2016-05-04,2016-05-09,Second Class,AS-10225
CA-2015-130960,2015-12-30,2016-01-04,Standard Class,KB-16600
CA-2015-111003,2015-06-01,2015-06-06,Standard Class,CR-12625
CA-2018-126774,2018-04-15,2018-04-17,First Class,SH-20395
CA-2017-142902,2017-09-12,2017-09-14,Second Class,BP-11185
CA-2015-120887,2015-09-27,2015-10-03,Standard Class,TS-21205
CA-2015-167850,2015-08-09,2015-08-16,Standard Class,AG-10525
CA-2015-164259,2015-12-28,2015-12-30,First Class,SP-20860
CA-2015-164973,2015-11-04,2015-11-09,Standard Class,NM-18445
CA-2015-156601,2015-09-19,2015-09-24,Standard Class,FA-14230
CA-2017-162138,2017-04-23,2017-04-27,Standard Class,GK-14620
CA-2018-153339,2018-11-03,2018-11-05,Second Class,DJ-13510
US-2017-141544,2017-08-30,2017-09-01,First Class,PO-18850
US-2017-150147,2017-04-25,2017-04-29,Second Class,JL-15850
CA-2016-137946,2016-09-01,2016-09-04,Second Class,DB-13615
CA-2015-129924,2015-07-12,2015-07-17,Standard Class,AC-10420
CA-2016-128167,2016-06-22,2016-06-26,Second Class,KL-16645
CA-2015-122336,2015-04-13,2015-04-17,Second Class,JD-15895
US-2016-120712,2016-12-20,2016-12-24,Standard Class,CS-12130
CA-2018-169901,2018-06-15,2018-06-19,Standard Class,CC-12550
CA-2018-134306,2018-07-08,2018-07-12,Standard Class,TD-20995
CA-2017-129714,2017-09-01,2017-09-03,First Class,AB-10060
CA-2017-138520,2017-04-08,2017-04-13,Standard Class,JL-15505
CA-2017-130001,2017-04-23,2017-04-28,Standard Class,HK-14890
CA-2018-155698,2018-03-08,2018-03-11,First Class,VB-21745
CA-2018-144904,2018-09-25,2018-10-01,Standard Class,KW-16435
CA-2015-123344,2015-09-24,2015-09-29,Standard Class,JD-16060
CA-2017-155516,2017-10-21,2017-10-21,Same Day,MK-17905
CA-2018-104745,2018-05-29,2018-06-04,Standard Class,GT-14755
US-2015-119137,2015-07-23,2015-07-27,Standard Class,AG-10900
US-2017-134656,2017-09-28,2017-10-01,First Class,MM-18280
US-2018-134481,2018-08-27,2018-09-01,Standard Class,AR-10405
CA-2016-130792,2016-04-28,2016-05-05,Standard Class,RA-19915
CA-2017-134775,2017-10-28,2017-10-29,First Class,AS-10285
CA-2016-125395,2016-06-26,2016-06-29,Second Class,LA-16780
US-2016-168935,2016-11-27,2016-12-02,Standard Class,DO-13435
CA-2016-122756,2016-12-03,2016-12-07,Standard Class,DK-13225
CA-2015-115973,2015-11-24,2015-11-26,First Class,NG-18430
CA-2018-101798,2018-12-11,2018-12-15,Standard Class,MV-18190
US-2015-135972,2015-09-21,2015-09-23,Second Class,JG-15115
US-2015-134971,2015-06-07,2015-06-10,Second Class,BP-11095
CA-2018-102946,2018-06-30,2018-07-05,Standard Class,VP-21730
CA-2018-165603,2018-10-17,2018-10-19,Second Class,SS-20140
CA-2016-122259,2016-10-31,2016-11-04,Standard Class,HP-14815
CA-2017-108987,2017-09-08,2017-09-10,Second Class,AG-10675
CA-2015-113166,2015-12-24,2015-12-26,First Class,LF-17185
CA-2015-155208,2015-04-16,2015-04-20,Standard Class,SP-20650
CA-2018-117933,2018-12-24,2018-12-29,Standard Class,RF-19840
CA-2018-117457,2018-12-08,2018-12-12,Standard Class,KH-16510
CA-2018-142636,2018-11-03,2018-11-07,Standard Class,KC-16675
CA-2018-122105,2018-06-24,2018-06-28,Standard Class,CJ-12010
CA-2017-148796,2017-04-14,2017-04-18,Standard Class,PB-19150
CA-2018-154816,2018-11-06,2018-11-10,Standard Class,VB-21745
CA-2018-110478,2018-03-04,2018-03-09,Standard Class,SP-20860
CA-2015-142048,2015-06-22,2015-06-25,First Class,JE-15745
CA-2018-125388,2018-10-19,2018-10-23,Standard Class,MP-17965
CA-2018-155705,2018-08-21,2018-08-23,Second Class,NF-18385
CA-2018-149160,2018-11-23,2018-11-26,Second Class,JM-15265
CA-2015-101476,2015-09-12,2015-09-13,First Class,SD-20485
CA-2018-152275,2018-10-01,2018-10-08,Standard Class,KH-16630
US-2017-123750,2017-04-15,2017-04-21,Standard Class,RB-19795
CA-2017-127369,2017-06-06,2017-06-07,First Class,DB-13060
US-2015-150574,2015-12-19,2015-12-25,Standard Class,MK-18160
CA-2017-147375,2017-06-12,2017-06-14,Second Class,PO-19180
CA-2018-130043,2018-09-15,2018-09-19,Standard Class,BB-11545
CA-2018-157252,2018-01-20,2018-01-23,Second Class,CV-12805
CA-2017-115756,2017-09-05,2017-09-07,Second Class,PK-19075
CA-2018-154214,2018-03-20,2018-03-25,Second Class,TB-21595
CA-2017-166674,2017-04-01,2017-04-03,Second Class,RB-19360
CA-2018-147277,2018-10-20,2018-10-24,Standard Class,EB-13705
CA-2017-100153,2017-12-13,2017-12-17,Standard Class,KH-16630
US-2015-110674,2015-02-12,2015-02-18,Standard Class,SC-20095
US-2017-157945,2017-09-26,2017-10-01,Standard Class,NF-18385
CA-2016-109638,2016-12-15,2016-12-22,Standard Class,JH-15985
CA-2017-109869,2017-04-22,2017-04-29,Standard Class,TN-21040
US-2016-101399,2016-01-17,2016-01-24,Standard Class,JS-15940
CA-2018-154907,2018-03-31,2018-04-04,Standard Class,DS-13180
US-2017-100419,2017-12-16,2017-12-20,Second Class,CC-12670
CA-2016-154144,2016-12-20,2016-12-24,Standard Class,MH-17785
CA-2015-144666,2015-11-09,2015-11-11,Second Class,JP-15520
CA-2017-103891,2017-07-12,2017-07-19,Standard Class,KH-16690
CA-2017-152632,2017-10-27,2017-11-02,Standard Class,JE-15475
CA-2017-100790,2017-06-26,2017-07-02,Standard Class,JG-15805
CA-2015-134677,2015-10-06,2015-10-10,Standard Class,XP-21865
CA-2015-127691,2015-07-22,2015-07-27,Standard Class,EM-14065
CA-2018-140963,2018-06-10,2018-06-13,First Class,MT-18070
CA-2015-154627,2015-10-29,2015-10-31,First Class,SA-20830
CA-2015-133753,2015-06-09,2015-06-13,Second Class,CW-11905
CA-2015-113362,2015-09-14,2015-09-19,Standard Class,AJ-10960
CA-2017-169166,2017-05-09,2017-05-14,Standard Class,SS-20590
US-2017-120929,2017-03-18,2017-03-21,Second Class,RO-19780
CA-2016-134782,2016-12-27,2016-12-31,Standard Class,MD-17350
CA-2017-126158,2017-07-25,2017-07-31,Standard Class,SC-20095
US-2017-105578,2017-05-30,2017-06-04,Standard Class,MY-17380
CA-2018-134978,2018-11-12,2018-11-15,Second Class,EB-13705
CA-2016-145352,2016-03-16,2016-03-22,Standard Class,CM-12385
CA-2018-135307,2018-11-26,2018-11-27,First Class,LS-17245
CA-2017-106341,2017-10-20,2017-10-23,First Class,LF-17185
CA-2018-163405,2018-12-21,2018-12-25,Standard Class,BN-11515
CA-2018-127432,2018-01-22,2018-01-27,Standard Class,AD-10180
CA-2016-157812,2016-03-22,2016-03-26,Standard Class,DB-13210
CA-2018-145142,2018-01-23,2018-01-25,First Class,MC-17605
US-2017-139486,2017-05-21,2017-05-23,First Class,LH-17155
CA-2016-158792,2016-12-26,2017-01-02,Standard Class,BD-11605
CA-2018-113558,2018-10-21,2018-10-26,Standard Class,PH-18790
US-2016-138303,2016-09-03,2016-09-07,Standard Class,MG-18145
CA-2016-102848,2016-11-07,2016-11-09,Second Class,KB-16240
US-2018-129441,2018-09-07,2018-09-11,Standard Class,JC-15340
CA-2017-168753,2017-05-29,2017-06-01,Second Class,RL-19615
CA-2017-126613,2017-07-10,2017-07-16,Standard Class,AA-10375
US-2018-122637,2018-09-03,2018-09-08,Second Class,EP-13915
CA-2016-147851,2016-12-03,2016-12-08,Standard Class,MP-17470
CA-2016-134894,2016-12-07,2016-12-11,Standard Class,DK-12985
CA-2015-140795,2015-02-01,2015-02-03,First Class,BD-11500
CA-2017-136924,2017-07-14,2017-07-17,First Class,ES-14080
US-2016-120161,2016-12-18,2016-12-23,Standard Class,LM-17065
CA-2015-103849,2015-05-11,2015-05-16,Standard Class,PG-18895
CA-2018-162929,2018-11-19,2018-11-22,First Class,AS-10135
CA-2016-113173,2016-11-15,2016-11-17,Second Class,DK-13225
CA-2017-136406,2017-04-15,2017-04-17,Second Class,BD-11320
CA-2018-112774,2018-09-11,2018-09-12,First Class,RC-19960
CA-2018-101945,2018-11-24,2018-11-28,Standard Class,GT-14710
CA-2018-100650,2018-06-29,2018-07-03,Second Class,DK-13225
CA-2015-155852,2015-03-03,2015-03-07,Second Class,AJ-10945
CA-2017-113243,2017-06-10,2017-06-15,Standard Class,OT-18730
CA-2018-118731,2018-11-20,2018-11-22,Second Class,LP-17080
CA-2015-145576,2015-09-14,2015-09-18,Second Class,CA-12775
CA-2016-130736,2016-12-07,2016-12-09,First Class,JF-15490
CA-2018-137099,2018-12-07,2018-12-10,First Class,FP-14320
CA-2018-156951,2018-10-01,2018-10-08,Standard Class,EB-13840
CA-2018-164826,2018-12-28,2019-01-04,Standard Class,JF-15415
CA-2017-127250,2017-11-03,2017-11-07,Standard Class,SF-20200
CA-2016-149713,2016-09-18,2016-09-22,Second Class,TG-21640
CA-2018-118640,2018-07-20,2018-07-26,Standard Class,CS-11950
CA-2016-132906,2016-09-10,2016-09-14,Standard Class,CC-12145
CA-2018-145233,2018-12-01,2018-12-05,Standard Class,DV-13465
CA-2016-128139,2016-07-03,2016-07-09,Standard Class,BD-11725
US-2017-156986,2017-03-20,2017-03-24,Standard Class,ZC-21910
CA-2015-135405,2015-01-09,2015-01-13,Standard Class,MS-17830
CA-2015-131450,2015-08-08,2015-08-15,Standard Class,LR-16915
CA-2017-120180,2017-07-14,2017-07-16,First Class,TP-21130
US-2017-100720,2017-07-16,2017-07-21,Standard Class,CK-12205
CA-2015-149958,2015-03-15,2015-03-19,Standard Class,AS-10240
US-2015-105767,2015-05-23,2015-05-27,Standard Class,AR-10510
CA-2017-161816,2017-04-28,2017-05-01,First Class,NB-18655
CA-2017-121223,2017-09-11,2017-09-13,Second Class,GD-14590
CA-2018-138611,2018-11-14,2018-11-17,Second Class,CK-12595
CA-2018-117947,2018-08-18,2018-08-23,Second Class,NG-18355
US-2015-111171,2015-12-26,2015-12-31,Standard Class,CA-12265
CA-2016-138009,2016-11-29,2016-12-03,Standard Class,SF-20965
CA-2018-163020,2018-09-15,2018-09-19,Standard Class,MO-17800
CA-2018-153787,2018-05-19,2018-05-23,Standard Class,AT-10735
CA-2018-133431,2018-12-17,2018-12-21,Standard Class,LC-17140
US-2017-135720,2017-12-11,2017-12-13,Second Class,FM-14380
CA-2018-144694,2018-09-24,2018-09-26,Second Class,BD-11605
CA-2016-168004,2016-10-04,2016-10-09,Second Class,DJ-13420
US-2017-123470,2017-08-15,2017-08-21,Standard Class,ME-17725
CA-2017-115917,2017-05-20,2017-05-25,Standard Class,RB-19465
CA-2017-147067,2017-12-18,2017-12-22,Standard Class,JD-16150
CA-2018-167913,2018-07-30,2018-08-03,Second Class,JL-15835
CA-2018-106103,2018-06-10,2018-06-15,Standard Class,SC-20305
US-2018-127719,2018-07-21,2018-07-25,Standard Class,TW-21025
CA-2018-126221,2018-12-30,2019-01-05,Standard Class,CC-12430
CA-2017-103947,2017-04-01,2017-04-08,Standard Class,BB-10990
CA-2017-160745,2017-12-11,2017-12-16,Second Class,AR-10825
CA-2017-132661,2017-10-23,2017-10-29,Standard Class,SR-20740
CA-2018-140844,2018-06-19,2018-06-23,Standard Class,AR-10405
CA-2017-137239,2017-08-22,2017-08-28,Standard Class,CR-12730
US-2017-156097,2017-09-19,2017-09-19,Same Day,EH-14125
CA-2016-146563,2016-08-24,2016-08-28,Standard Class,CB-12025
CA-2017-123666,2017-03-26,2017-03-30,Standard Class,SP-20545
CA-2017-143308,2017-11-04,2017-11-04,Same Day,RC-19825
CA-2018-132682,2018-06-08,2018-06-10,Second Class,TH-21235
CA-2015-156314,2015-12-24,2015-12-26,First Class,RP-19390
US-2018-106663,2018-06-09,2018-06-13,Standard Class,MO-17800
CA-2018-111178,2018-06-15,2018-06-22,Standard Class,TD-20995
CA-2018-130351,2018-12-05,2018-12-08,First Class,RB-19570
US-2018-119438,2018-03-18,2018-03-23,Standard Class,CD-11980
CA-2017-164511,2017-11-19,2017-11-24,Standard Class,DJ-13630
US-2018-168116,2018-11-04,2018-11-04,Same Day,GT-14635
CA-2015-157784,2015-07-05,2015-07-08,First Class,MC-17845
CA-2018-161480,2018-12-25,2018-12-29,Standard Class,RA-19285
US-2015-117135,2015-06-21,2015-06-23,Second Class,NP-18325
CA-2016-131534,2016-03-28,2016-04-02,Standard Class,AB-10165
CA-2016-119291,2016-05-14,2016-05-17,First Class,JO-15550
CA-2018-114552,2018-09-02,2018-09-08,Standard Class,Dl-13600
CA-2017-163755,2017-11-04,2017-11-08,Second Class,AS-10285
CA-2016-142027,2016-04-09,2016-04-14,Standard Class,JK-15370
CA-2015-138527,2015-09-12,2015-09-17,Standard Class,BN-11470
CA-2015-112158,2015-12-02,2015-12-04,First Class,DP-13165
CA-2015-113887,2015-04-05,2015-04-07,First Class,TH-21550
CA-2018-146136,2018-09-03,2018-09-07,Standard Class,AP-10915
US-2018-100048,2018-05-19,2018-05-24,Standard Class,RS-19765
CA-2015-153150,2015-07-01,2015-07-06,Second Class,Dl-13600
CA-2015-130092,2015-01-11,2015-01-14,First Class,SV-20365
CA-2018-108910,2018-09-24,2018-09-29,Standard Class,KC-16540
CA-2015-104472,2015-06-02,2015-06-07,Standard Class,CK-12325
CA-2017-112942,2017-02-13,2017-02-18,Standard Class,RD-19810
CA-2017-142335,2017-12-15,2017-12-19,Standard Class,MP-17965
CA-2015-117429,2015-10-07,2015-10-13,Standard Class,MR-17545
CA-2017-114713,2017-07-07,2017-07-12,Standard Class,SC-20695
CA-2018-144113,2018-09-16,2018-09-20,Standard Class,JF-15355
US-2017-150861,2017-12-03,2017-12-06,First Class,EG-13900
CA-2018-131954,2018-01-21,2018-01-25,Standard Class,DS-13030
CA-2015-132500,2015-09-08,2015-09-12,Standard Class,GZ-14470
CA-2015-112326,2015-01-04,2015-01-08,Standard Class,PO-19195
US-2017-146710,2017-08-27,2017-09-01,Standard Class,SS-20875
CA-2015-124429,2015-05-27,2015-05-27,Same Day,MH-17785
CA-2017-150889,2017-03-20,2017-03-22,Second Class,PB-19105
CA-2018-126074,2018-10-02,2018-10-06,Standard Class,RF-19735
CA-2017-110499,2017-04-07,2017-04-09,First Class,YC-21895
CA-2016-135272,2016-12-07,2016-12-12,Standard Class,MS-17830
CA-2017-140928,2017-09-18,2017-09-22,Standard Class,NB-18655
CA-2015-106803,2015-12-29,2016-01-02,Standard Class,DC-13285
CA-2018-117240,2018-07-23,2018-07-28,Standard Class,CP-12340
CA-2018-133333,2018-09-18,2018-09-22,Standard Class,BF-11020
CA-2016-112319,2016-08-31,2016-09-05,Standard Class,AR-10510
CA-2018-126046,2018-11-03,2018-11-07,Standard Class,JC-16105
CA-2016-114923,2016-02-08,2016-02-13,Standard Class,LH-17020
CA-2015-162775,2015-01-13,2015-01-15,Second Class,CS-12250
CA-2015-106810,2015-05-14,2015-05-20,Standard Class,AJ-10795
CA-2017-157245,2017-05-19,2017-05-24,Standard Class,LE-16810
CA-2018-104220,2018-01-30,2018-02-05,Standard Class,BV-11245
CA-2015-165974,2015-06-29,2015-07-06,Standard Class,DL-12865
CA-2016-144267,2016-08-21,2016-08-23,First Class,NZ-18565
US-2016-157014,2016-10-03,2016-10-06,Second Class,BM-11785
CA-2016-154921,2016-05-23,2016-05-28,Standard Class,EA-14035
CA-2018-129567,2018-03-17,2018-03-21,Second Class,CL-12565
CA-2016-154620,2016-12-12,2016-12-16,Standard Class,LT-17110
CA-2016-115938,2016-06-26,2016-06-30,Standard Class,SA-20830
CA-2017-105256,2017-05-20,2017-05-20,Same Day,JK-15730
CA-2015-156433,2015-09-20,2015-09-26,Standard Class,ES-14020
CA-2018-151428,2018-09-21,2018-09-26,Standard Class,RH-19495
CA-2016-124653,2016-12-24,2016-12-26,First Class,DB-13120
CA-2016-101910,2016-11-27,2016-12-03,Standard Class,CD-11920
CA-2018-105809,2018-02-20,2018-02-23,First Class,HW-14935
CA-2017-136133,2017-08-18,2017-08-23,Second Class,HW-14935
CA-2017-115504,2017-03-12,2017-03-17,Standard Class,MC-18130
CA-2018-135783,2018-04-22,2018-04-24,First Class,GM-14440
CA-2015-134313,2015-11-01,2015-11-07,Standard Class,RA-19915
CA-2016-140921,2016-02-03,2016-02-05,First Class,AA-10375
CA-2015-151995,2015-10-13,2015-10-15,First Class,ZC-21910
CA-2018-143686,2018-05-14,2018-05-14,Same Day,PJ-19015
CA-2016-106565,2016-03-20,2016-03-23,First Class,BW-11110
CA-2017-149370,2017-09-15,2017-09-19,Standard Class,DB-13210
CA-2015-140858,2015-06-28,2015-07-02,Standard Class,CA-12775
CA-2018-101434,2018-06-20,2018-06-27,Standard Class,TR-21325
US-2015-102071,2015-05-09,2015-05-15,Standard Class,PG-18820
CA-2018-126956,2018-08-21,2018-08-28,Standard Class,GT-14710
CA-2018-129462,2018-06-16,2018-06-21,Second Class,JE-15745
CA-2017-165316,2017-07-23,2017-07-27,Standard Class,JB-15400
US-2015-115987,2015-09-08,2015-09-13,Second Class,LH-17020
US-2018-156083,2018-11-04,2018-11-11,Standard Class,JL-15175
US-2017-137547,2017-03-07,2017-03-12,Standard Class,EB-13705
CA-2016-100454,2016-11-20,2016-11-25,Standard Class,BM-11650
CA-2017-161669,2017-11-07,2017-11-09,First Class,EM-14095
CA-2016-114300,2016-10-13,2016-10-17,Standard Class,AF-10885
CA-2018-107503,2018-01-01,2018-01-06,Standard Class,GA-14725
CA-2015-107755,2015-02-07,2015-02-12,Standard Class,CK-12760
CA-2017-152534,2017-06-20,2017-06-25,Second Class,DP-13105
CA-2017-113747,2017-05-28,2017-06-04,Standard Class,VD-21670
CA-2017-123274,2017-02-19,2017-02-24,Standard Class,GT-14710
CA-2015-125612,2015-08-03,2015-08-08,Standard Class,BK-11260
CA-2018-161984,2018-04-10,2018-04-15,Standard Class,SJ-20125
CA-2015-133851,2015-06-09,2015-06-16,Standard Class,CM-12445
CA-2017-134474,2017-01-05,2017-01-07,Second Class,AJ-10795
CA-2015-149020,2015-01-10,2015-01-15,Standard Class,AJ-10780
CA-2017-134362,2017-09-29,2017-10-02,First Class,LS-16945
